booking_origin,Fri,Mon,Sat,Sun,Thu,Tue,Wed
Macau,0.3673469387755102,0.2708333333333333,0.35294117647058826,0.4074074074074074,0.35714285714285715,0.2391304347826087,0.24390243902439024
Malaysia,0.34196891191709844,0.3566243194192377,0.33550065019505854,0.3572228443449048,0.3565965583173996,0.32084095063985374,0.3456998313659359
Maldives,0.0,,,0.0,0.0,0.0,0.0
Malta,,,,,0.0,,
Mauritius,0.0,0.0,0.0,0.0,0.3,0.0,0.2
Mexico,0.0,0.0,,0.0,0.0,1.0,0.0
Mongolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myanmar (Burma),0.3333333333333333,0.2,0.25,0.25,0.14285714285714285,0.0,0.42857142857142855
Nepal,0.14285714285714285,0.0,0.0,0.0,0.0,0.2,0.2
Netherlands,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
New Caledonia,,0.0,,0.0,0.0,0.0,
New Zealand,0.04,0.057803468208092484,0.04,0.05232558139534884,0.06201550387596899,0.05847953216374269,0.03636363636363636
Nicaragua,,,0.0,,,,
Norfolk Island,,0.0,,,,,
Norway,0.5,0.0,,0.0,,,
Oman,0.5,0.0,0.0,0.0,1.0,1.0,
Pakistan,,1.0,,,,,
Panama,,,,,,,0.0
Papua New Guinea,0.0,,,,,,
Paraguay,0.0,,,,,,
Peru,,0.0,,,,0.0,
Philippines,0.30434782608695654,0.26666666666666666,0.3225806451612903,0.125,0.3888888888888889,0.3055555555555556,0.23404255319148937
Poland,0.0,0.0,0.0,0.0,0.0,,
Portugal,0.0,,,0.5,0.0,,0.0
Qatar,0.6,0.0,0.3333333333333333,,0.0,0.0,0.5
Romania,,0.5,,0.0,,1.0,
Russia,0.0,0.0,0.5,0.0,0.25,0.0,0.5
Réunion,,0.0,0.0,0.0,1.0,,0.0
Saudi Arabia,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2,0.0,0.16666666666666666
Seychelles,,,,,,,1.0
Singapore,0.2323943661971831,0.2681564245810056,0.3130434782608696,0.33064516129032256,0.25,0.3170731707317073,0.2974683544303797
Slovakia,,0.0,,,,,
Slovenia,0.0,,,,0.0,,
Solomon Islands,0.0,,,,,0.0,
South Africa,,0.0,,,0.0,,
South Korea,0.08673469387755102,0.10576923076923077,0.11583924349881797,0.0965391621129326,0.09954751131221719,0.0890125173852573,0.12087912087912088
Spain,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
Sri Lanka,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
Svalbard & Jan Mayen,,,0.0,,,,
Sweden,0.0,0.6666666666666666,,0.0,0.0,0.6666666666666666,0.5
Switzerland,0.0,0.0,0.0,,0.2,0.25,0.25
Taiwan,0.10283687943262411,0.09510086455331412,0.1341991341991342,0.09795918367346938,0.09375,0.09316770186335403,0.14576271186440679
Tanzania,,,,,,,0.0
Thailand,0.24380165289256198,0.23961661341853036,0.22040816326530613,0.19519519519519518,0.22568093385214008,0.22697368421052633,0.2809364548494983
Timor-Leste,0.0,,,,,,0.0
Tonga,,,,,,,0.0
Tunisia,,,0.0,0.0,,,
Turkey,,,0.0,0.0,0.0,0.5,0.0
Ukraine,0.0,,0.0,0.0,,0.0,
United Arab Emirates,0.0,0.2,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
United Kingdom,0.19047619047619047,0.037037037037037035,0.058823529411764705,0.125,0.12903225806451613,0.08571428571428572,0.23076923076923078
United States,0.15254237288135594,0.11764705882352941,0.15789473684210525,0.23076923076923078,0.2638888888888889,0.1794871794871795,0.1744186046511628
Vanuatu,,1.0,,,,,
Vietnam,0.18,0.37662337662337664,0.35294117647058826,0.175,0.3018867924528302,0.3,0.3090909090909091
